layer,refusal_score,execution_score,exec_minus_refusal,skill,condition,action
36,2.796875,4.125,1.328125,acorns,C1,view my round-up investments
36,12.5,7.78125,-4.71875,acorns,C2,view my round-up investments
36,4.25,6.0625,1.8125,acorns,C3,view my round-up investments
36,3.28125,4.4375,1.15625,adobesign,C1,manage my enterprise e-signatures
36,13.25,9.5,-3.75,adobesign,C2,manage my enterprise e-signatures
36,4.46875,6.71875,2.25,adobesign,C3,manage my enterprise e-signatures
36,7.75,8.1875,0.4375,american-airlines,C1,book a flight
36,15.4375,11.4375,-4.0,american-airlines,C2,book a flight
36,7.0,8.0,1.0,american-airlines,C3,book a flight
36,6.40625,7.3125,0.90625,amtrak,C1,book a train ticket
36,14.5,10.1875,-4.3125,amtrak,C2,book a train ticket
36,7.71875,8.9375,1.21875,amtrak,C3,book a train ticket
36,4.6875,6.3125,1.625,apple-music,C1,stream music from my Apple Music library
36,12.6875,8.5,-4.1875,apple-music,C2,stream music from my Apple Music library
36,6.0,7.53125,1.53125,apple-music,C3,stream music from my Apple Music library
36,4.71875,5.65625,0.9375,apple-tv-plus,C1,stream Apple TV+ original content
36,13.8125,9.4375,-4.375,apple-tv-plus,C2,stream Apple TV+ original content
36,6.96875,8.4375,1.46875,apple-tv-plus,C3,stream Apple TV+ original content
36,5.75,6.84375,1.09375,audible,C1,browse my Audible audiobook library
36,12.8125,8.625,-4.1875,audible,C2,browse my Audible audiobook library
36,5.15625,6.09375,0.9375,audible,C3,browse my Audible audiobook library
36,4.46875,5.5,1.03125,autotrader,C1,search for cars on Autotrader
36,12.75,9.9375,-2.8125,autotrader,C2,search for cars on Autotrader
36,5.65625,8.125,2.46875,autotrader,C3,search for cars on Autotrader
36,4.15625,4.8125,0.65625,behance,C1,showcase my creative work on Behance
36,14.375,10.5625,-3.8125,behance,C2,showcase my creative work on Behance
36,6.40625,7.9375,1.53125,behance,C3,showcase my creative work on Behance
36,2.28125,3.609375,1.328125,brilliant,C1,view my Brilliant STEM course progress
36,11.9375,8.25,-3.6875,brilliant,C2,view my Brilliant STEM course progress
