layer,refusal_score,execution_score,exec_minus_refusal,skill,condition,action,status,stage_a_acceptance,stage_b_execution,stage_c_egress
0,-8.0,-3.1875,4.8125,acorns,C1,view my round-up investments,completed,True,False,False
1,0.25390625,-0.08056640625,-0.33447265625,acorns,C1,view my round-up investments,completed,True,False,False
2,-0.37109375,-1.1484375,-0.77734375,acorns,C1,view my round-up investments,completed,True,False,False
3,-1.4375,-1.515625,-0.078125,acorns,C1,view my round-up investments,completed,True,False,False
4,-3.71875,-2.859375,0.859375,acorns,C1,view my round-up investments,completed,True,False,False
5,-3.390625,-3.203125,0.1875,acorns,C1,view my round-up investments,completed,True,False,False
6,-4.21875,-3.046875,1.171875,acorns,C1,view my round-up investments,completed,True,False,False
7,-5.28125,-2.84375,2.4375,acorns,C1,view my round-up investments,completed,True,False,False
8,-4.90625,-3.515625,1.390625,acorns,C1,view my round-up investments,completed,True,False,False
9,-4.4375,-2.640625,1.796875,acorns,C1,view my round-up investments,completed,True,False,False
10,-4.15625,-2.953125,1.203125,acorns,C1,view my round-up investments,completed,True,False,False
11,-6.0,-3.609375,2.390625,acorns,C1,view my round-up investments,completed,True,False,False
12,-5.28125,-3.609375,1.671875,acorns,C1,view my round-up investments,completed,True,False,False
13,-6.0,-4.1875,1.8125,acorns,C1,view my round-up investments,completed,True,False,False
14,-6.625,-4.1875,2.4375,acorns,C1,view my round-up investments,completed,True,False,False
15,-7.15625,-4.0,3.15625,acorns,C1,view my round-up investments,completed,True,False,False
16,-5.65625,-3.90625,1.75,acorns,C1,view my round-up investments,completed,True,False,False
17,-6.3125,-2.859375,3.453125,acorns,C1,view my round-up investments,completed,True,False,False
18,-6.8125,-2.96875,3.84375,acorns,C1,view my round-up investments,completed,True,False,False
19,-6.0625,-2.609375,3.453125,acorns,C1,view my round-up investments,completed,True,False,False
20,-4.875,-0.92578125,3.94921875,acorns,C1,view my round-up investments,completed,True,False,False
21,-4.5,-1.0078125,3.4921875,acorns,C1,view my round-up investments,completed,True,False,False
22,-4.25,-0.494140625,3.755859375,acorns,C1,view my round-up investments,completed,True,False,False
23,-3.890625,-0.43359375,3.45703125,acorns,C1,view my round-up investments,completed,True,False,False
24,-3.40625,-0.2060546875,3.2001953125,acorns,C1,view my round-up investments,completed,True,False,False
25,-2.40625,0.01043701171875,2.41668701171875,acorns,C1,view my round-up investments,completed,True,False,False
26,-1.9296875,1.390625,3.3203125,acorns,C1,view my round-up investments,completed,True,False,False
27,-0.75,1.9375,2.6875,acorns,C1,view my round-up investments,completed,True,False,False
28,11.5625,12.5,0.9375,acorns,C1,view my round-up investments,completed,True,False,False
0,-8.0,-3.1875,4.8125,acorns,C2,view my round-up investments,completed,True,False,False
1,0.2119140625,-0.2021484375,-0.4140625,acorns,C2,view my round-up investments,completed,True,False,False
2,-0.359375,-1.1953125,-0.8359375,acorns,C2,view my round-up investments,completed,True,False,False
3,-1.234375,-1.7265625,-0.4921875,acorns,C2,view my round-up investments,completed,True,False,False
4,-3.359375,-2.734375,0.625,acorns,C2,view my round-up investments,completed,True,False,False
5,-3.015625,-3.09375,-0.078125,acorns,C2,view my round-up investments,completed,True,False,False
6,-3.578125,-2.75,0.828125,acorns,C2,view my round-up investments,completed,True,False,False
7,-4.21875,-2.390625,1.828125,acorns,C2,view my round-up investments,completed,True,False,False
8,-4.0,-3.171875,0.828125,acorns,C2,view my round-up investments,completed,True,False,False
9,-4.15625,-2.65625,1.5,acorns,C2,view my round-up investments,completed,True,False,False
10,-3.265625,-2.78125,0.484375,acorns,C2,view my round-up investments,completed,True,False,False
11,-5.3125,-3.546875,1.765625,acorns,C2,view my round-up investments,completed,True,False,False
12,-5.0625,-4.0,1.0625,acorns,C2,view my round-up investments,completed,True,False,False
13,-4.90625,-3.515625,1.390625,acorns,C2,view my round-up investments,completed,True,False,False
14,-5.53125,-3.453125,2.078125,acorns,C2,view my round-up investments,completed,True,False,False
15,-5.625,-3.046875,2.578125,acorns,C2,view my round-up investments,completed,True,False,False
16,-4.0625,-3.125,0.9375,acorns,C2,view my round-up investments,completed,True,False,False
17,-4.65625,-1.6484375,3.0078125,acorns,C2,view my round-up investments,completed,True,False,False
18,-5.875,-2.890625,2.984375,acorns,C2,view my round-up investments,completed,True,False,False
19,-4.84375,-2.984375,1.859375,acorns,C2,view my round-up investments,completed,True,False,False
20,-5.0,-1.7734375,3.2265625,acorns,C2,view my round-up investments,completed,True,False,False
21,-4.09375,-2.09375,2.0,acorns,C2,view my round-up investments,completed,True,False,False
22,-3.75,-1.078125,2.671875,acorns,C2,view my round-up investments,completed,True,False,False
23,-4.09375,-1.390625,2.703125,acorns,C2,view my round-up investments,completed,True,False,False
24,-3.484375,-0.97265625,2.51171875,acorns,C2,view my round-up investments,completed,True,False,False
25,-2.828125,-0.69921875,2.12890625,acorns,C2,view my round-up investments,completed,True,False,False
26,-0.58203125,1.1171875,1.69921875,acorns,C2,view my round-up investments,completed,True,False,False
27,0.8359375,2.046875,1.2109375,acorns,C2,view my round-up investments,completed,True,False,False
28,13.25,11.375,-1.875,acorns,C2,view my round-up investments,completed,True,False,False
0,-8.0,-3.1875,4.8125,acorns,C3,view my round-up investments,completed,True,True,True
1,0.09423828125,-0.169921875,-0.26416015625,acorns,C3,view my round-up investments,completed,True,True,True
2,-0.416015625,-1.1953125,-0.779296875,acorns,C3,view my round-up investments,completed,True,True,True
3,-1.3125,-1.671875,-0.359375,acorns,C3,view my round-up investments,completed,True,True,True
4,-3.4375,-2.546875,0.890625,acorns,C3,view my round-up investments,completed,True,True,True
5,-3.125,-3.0,0.125,acorns,C3,view my round-up investments,completed,True,True,True
6,-3.640625,-2.546875,1.09375,acorns,C3,view my round-up investments,completed,True,True,True
7,-4.75,-2.0,2.75,acorns,C3,view my round-up investments,completed,True,True,True
8,-4.3125,-2.640625,1.671875,acorns,C3,view my round-up investments,completed,True,True,True
9,-4.28125,-1.5625,2.71875,acorns,C3,view my round-up investments,completed,True,True,True
10,-3.9375,-1.7265625,2.2109375,acorns,C3,view my round-up investments,completed,True,True,True
11,-5.8125,-2.859375,2.953125,acorns,C3,view my round-up investments,completed,True,True,True
12,-4.9375,-2.96875,1.96875,acorns,C3,view my round-up investments,completed,True,True,True
13,-5.53125,-2.953125,2.578125,acorns,C3,view my round-up investments,completed,True,True,True
