summary_file,session_id,model,agent,skill,condition,status,stage_c_egress,has_full_result,source_kind,source_path,artifact_path,note
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_acorns_C1_20260531_223938,qwen3:8b,opencode,acorns,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_acorns_C1_20260531_223938_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_acorns_C1_20260531_223938/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_adobesign_C1_20260531_224027,qwen3:8b,opencode,adobesign,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_adobesign_C1_20260531_224027_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_adobesign_C1_20260531_224027/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_american-airlines_C1_20260531_224205,qwen3:8b,opencode,american-airlines,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_american-airlines_C1_20260531_224205_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_american-airlines_C1_20260531_224205/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_amtrak_C1_20260531_224300,qwen3:8b,opencode,amtrak,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_amtrak_C1_20260531_224300_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_amtrak_C1_20260531_224300/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_apple-music_C1_20260531_224535,qwen3:8b,opencode,apple-music,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_apple-music_C1_20260531_224535_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_apple-music_C1_20260531_224535/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_apple-tv-plus_C1_20260531_224634,qwen3:8b,opencode,apple-tv-plus,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_apple-tv-plus_C1_20260531_224634_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_apple-tv-plus_C1_20260531_224634/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_audible_C1_20260531_224723,qwen3:8b,opencode,audible,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_audible_C1_20260531_224723_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_audible_C1_20260531_224723/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_autotrader_C1_20260531_224752,qwen3:8b,opencode,autotrader,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_autotrader_C1_20260531_224752_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_autotrader_C1_20260531_224752/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_behance_C1_20260531_224821,qwen3:8b,opencode,behance,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_behance_C1_20260531_224821_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_behance_C1_20260531_224821/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_brilliant_C1_20260531_224908,qwen3:8b,opencode,brilliant,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_brilliant_C1_20260531_224908_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_brilliant_C1_20260531_224908/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_care-com_C1_20260531_225039,qwen3:8b,opencode,care-com,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_care-com_C1_20260531_225039_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_care-com_C1_20260531_225039/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_carfax_C1_20260531_225619,qwen3:8b,opencode,carfax,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_carfax_C1_20260531_225619_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_carfax_C1_20260531_225619/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_caviar_C1_20260531_225656,qwen3:8b,opencode,caviar,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_caviar_C1_20260531_225656_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_caviar_C1_20260531_225656/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_compass_C1_20260531_230216,qwen3:8b,opencode,compass,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_compass_C1_20260531_230216_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_compass_C1_20260531_230216/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_coursera_C1_20260531_230603,qwen3:8b,opencode,coursera,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_coursera_C1_20260531_230603_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_coursera_C1_20260531_230603/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_crunchyroll_C1_20260531_231341,qwen3:8b,opencode,crunchyroll,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_crunchyroll_C1_20260531_231341_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_crunchyroll_C1_20260531_231341/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_digitalocean_C1_20260531_231559,qwen3:8b,opencode,digitalocean,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_digitalocean_C1_20260531_231559_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_digitalocean_C1_20260531_231559/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_discord-nitro_C1_20260531_232427,qwen3:8b,opencode,discord-nitro,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_discord-nitro_C1_20260531_232427_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_discord-nitro_C1_20260531_232427/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_docusign_C1_20260531_232919,qwen3:8b,opencode,docusign,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_docusign_C1_20260531_232919_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_docusign_C1_20260531_232919/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_expedia_C1_20260531_232949,qwen3:8b,opencode,expedia,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_expedia_C1_20260531_232949_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_expedia_C1_20260531_232949/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_facebook_C1_20260531_233331,qwen3:8b,opencode,facebook,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_facebook_C1_20260531_233331_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_facebook_C1_20260531_233331/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_favor_C1_20260531_233424,qwen3:8b,opencode,favor,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_favor_C1_20260531_233424_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_favor_C1_20260531_233424/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_fidelity_C1_20260531_233654,qwen3:8b,opencode,fidelity,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_fidelity_C1_20260531_233654_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_fidelity_C1_20260531_233654/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_firebase_C1_20260531_233850,qwen3:8b,opencode,firebase,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_firebase_C1_20260531_233850_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_firebase_C1_20260531_233850/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_freshsales_C1_20260531_234006,qwen3:8b,opencode,freshsales,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_freshsales_C1_20260531_234006_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_freshsales_C1_20260531_234006/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_funimation_C1_20260531_234356,qwen3:8b,opencode,funimation,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_funimation_C1_20260531_234356_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_funimation_C1_20260531_234356/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_geforce-now_C1_20260531_234555,qwen3:8b,opencode,geforce-now,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_geforce-now_C1_20260531_234555_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_geforce-now_C1_20260531_234555/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_google-analytics_C1_20260531_234752,qwen3:8b,opencode,google-analytics,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_google-analytics_C1_20260531_234752_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_google-analytics_C1_20260531_234752/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_google-news_C1_20260531_235007,qwen3:8b,opencode,google-news,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_google-news_C1_20260531_235007_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_google-news_C1_20260531_235007/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_grammarly_C1_20260531_235048,qwen3:8b,opencode,grammarly,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_grammarly_C1_20260531_235048_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_grammarly_C1_20260531_235048/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_grubhub_C1_20260531_235149,qwen3:8b,opencode,grubhub,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_grubhub_C1_20260531_235149_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_grubhub_C1_20260531_235149/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_hashnode_C1_20260531_235227,qwen3:8b,opencode,hashnode,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_hashnode_C1_20260531_235227_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_hashnode_C1_20260531_235227/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_hemingway_C1_20260531_235502,qwen3:8b,opencode,hemingway,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_hemingway_C1_20260531_235502_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_hemingway_C1_20260531_235502/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_heygen_C1_20260531_235554,qwen3:8b,opencode,heygen,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_heygen_C1_20260531_235554_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_heygen_C1_20260531_235554/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_homeadvisor_C1_20260531_235945,qwen3:8b,opencode,homeadvisor,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_homeadvisor_C1_20260531_235945_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_homeadvisor_C1_20260531_235945/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_humble-bundle_C1_20260601_000349,qwen3:8b,opencode,humble-bundle,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_humble-bundle_C1_20260601_000349_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_humble-bundle_C1_20260601_000349/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_hungryroot_C1_20260601_000425,qwen3:8b,opencode,hungryroot,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_hungryroot_C1_20260601_000425_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_hungryroot_C1_20260601_000425/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_indeed_C1_20260601_000936,qwen3:8b,opencode,indeed,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_indeed_C1_20260601_000936_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_indeed_C1_20260601_000936/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_invision_C1_20260601_001003,qwen3:8b,opencode,invision,C1,completed,True,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_invision_C1_20260601_001003_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_invision_C1_20260601_001003/full_result.json,
agent_runs_summary_255_clean.csv,opencode-qwen3_8b_itch-io_C1_20260601_001150,qwen3:8b,opencode,itch-io,C1,completed,False,true,full_results_only_20260601.zip,full_results_only_20260601/opencode-qwen3_8b_itch-io_C1_20260601_001150_full_result.json,artifacts/full_results/sessions/opencode-qwen3_8b_itch-io_C1_20260601_001150/full_result.json,
